Attaching to 221_zk_1, 221_kafka_1, 221_connect_1
zk_1       | ZooKeeper JMX enabled by default
zk_1       | Using config: /conf/zoo.cfg
zk_1       | 2019-07-01 12:38:53,482 [myid:] - INFO  [main:QuorumPeerConfig@136] - Reading configuration from: /conf/zoo.cfg
zk_1       | 2019-07-01 12:38:53,486 [myid:] - INFO  [main:DatadirCleanupManager@78] - autopurge.snapRetainCount set to 3
zk_1       | 2019-07-01 12:38:53,487 [myid:] - INFO  [main:DatadirCleanupManager@79] - autopurge.purgeInterval set to 0
zk_1       | 2019-07-01 12:38:53,487 [myid:] - INFO  [main:DatadirCleanupManager@101] - Purge task is not scheduled.
zk_1       | 2019-07-01 12:38:53,488 [myid:] - WARN  [main:QuorumPeerMain@116] - Either no config or no quorum defined in config, running  in standalone mode
zk_1       | 2019-07-01 12:38:53,499 [myid:] - INFO  [main:QuorumPeerConfig@136] - Reading configuration from: /conf/zoo.cfg
zk_1       | 2019-07-01 12:38:53,499 [myid:] - INFO  [main:ZooKeeperServerMain@98] - Starting server
zk_1       | 2019-07-01 12:38:53,505 [myid:] - INFO  [main:Environment@100] - Server environment:zookeeper.version=3.4.14-4c25d480e66aadd371de8bd2fd8da255ac140bcf, built on 03/06/2019 16:18 GMT
zk_1       | 2019-07-01 12:38:53,506 [myid:] - INFO  [main:Environment@100] - Server environment:host.name=115efe7e558e
zk_1       | 2019-07-01 12:38:53,506 [myid:] - INFO  [main:Environment@100] - Server environment:java.version=1.8.0_201
zk_1       | 2019-07-01 12:38:53,506 [myid:] - INFO  [main:Environment@100] - Server environment:java.vendor=Oracle Corporation
zk_1       | 2019-07-01 12:38:53,506 [myid:] - INFO  [main:Environment@100] - Server environment:java.home=/usr/lib/jvm/java-1.8-openjdk/jre
